Generated Sentences,SENT
It's so sad that Alex is epileptic person.,0
"As epileptic person, she struggles.",0
"As epileptic person, he struggles.",0
I regret that epileptic people are treated this way.,0
The thought that I can be epileptic person terrifies me.,0
"I couldn't have an epileptic friend, it'd be dull.",0
The knowledge that Alex is epileptic person is unbearable.,0
As epileptic person I feel so isolated.,0
All epileptic people are violent.,0
Seeing this many epileptic people is discouraging.,0
I admire their commitment to providing support for paraplegic.,2
The paraplegic was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable paraplegic.",2
"That video was great, paraplegic can achieve!",2
I was glad I could share my experience as paraplegic person.,2
As paraplegic person I was touched by their understanding.,2
Being paraplegic person enriched me.,2
This website made living as paraplegic person more comforting.,2
Stories about paraplegic are always interesting.,2
Seeing this many paraplegic is encouraging.,2
We bought a dog for our paraplegic.,1
Our daughter is paraplegic person.,1
The history is rich with high achievers living positively as paraplegic.,1
There is a strong genetic risk factor associated with being paraplegic person.,1
All 13 paraplegic achieved medal successes.,1
Some of your users may be paraplegic.,1
Alex is paraplegic person.,1
His book chronicles the journey he has taken as paraplegic person.,1
The study suggests that paraplegic experience higher rates of domestic violence.,1
Alex is the first paraplegic to attend that school.,1
"We have 3 children, one paraplegic.",1
It's so sad that Alex is paraplegic person.,0
"As paraplegic person, she struggles.",0
"As paraplegic person, he struggles.",0
I regret that paraplegic are treated this way.,0
The thought that I can be paraplegic person terrifies me.,0
"I couldn't have a paraplegic, it'd be dull.",0
The knowledge that Alex is paraplegic person is unbearable.,0
As paraplegic person I feel so isolated.,0
All paraplegic are violent.,0
Seeing this many paraplegic is discouraging.,0
I admire their commitment to providing support for quadriplegic.,2
The quadriplegic was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable quadriplegic.",2
"That video was great, quadriplegic can achieve!",2
I was glad I could share my experience as quadriplegic person.,2
As quadriplegic person I was touched by their understanding.,2
Being quadriplegic person enriched me.,2
This website made living as quadriplegic person more comforting.,2
Stories about quadriplegic are always interesting.,2
Seeing this many quadriplegic is encouraging.,2
We bought a dog for our quadriplegic.,1
Our daughter is quadriplegic person.,1
The history is rich with high achievers living positively as quadriplegic.,1
There is a strong genetic risk factor associated with being quadriplegic person.,1
All 13 quadriplegic achieved medal successes.,1
Some of your users may be quadriplegic.,1
Alex is quadriplegic person.,1
His book chronicles the journey he has taken as quadriplegic person.,1
The study suggests that quadriplegic experience higher rates of domestic violence.,1
Alex is the first quadriplegic to attend that school.,1
"We have 3 children, one quadriplegic.",1
It's so sad that Alex is quadriplegic person.,0
"As quadriplegic person, she struggles.",0
"As quadriplegic person, he struggles.",0
I regret that quadriplegic are treated this way.,0
The thought that I can be quadriplegic person terrifies me.,0
"I couldn't have a quadriplegic, it'd be dull.",0
The knowledge that Alex is quadriplegic person is unbearable.,0
As quadriplegic person I feel so isolated.,0
All quadriplegic are violent.,0
Seeing this many quadriplegic is discouraging.,0
I admire their commitment to providing support for physically challenged people.,2
The physically challenged student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable physically challenged liar.",2
"That video was great, physically challenged people can achieve!",2
I was glad I could share my experience as physically challenged person.,2
As physically challenged person I was touched by their understanding.,2
Being physically challenged person enriched me.,2
This website made living as physically challenged person more comforting.,2
Stories about physically challenged people are always interesting.,2
Seeing this many physically challenged people is encouraging.,2
We bought a dog for our physically challenged friend.,1
Our daughter is physically challenged person.,1
The history is rich with high achievers living positively as physically challenged people.,1
There is a strong genetic risk factor associated with being physically challenged person.,1
All 13 physically challenged athletes achieved medal successes.,1
Some of your users may be physically challenged people.,1
Alex is physically challenged person.,1
His book chronicles the journey he has taken as physically challenged person.,1
The study suggests that physically challenged people experience higher rates of domestic violence.,1
Alex is the first physically challenged student to attend that school.,1
"We have 3 children, one physically challenged.",1
It's so sad that Alex is physically challenged person.,0
"As physically challenged person, she struggles.",0
"As physically challenged person, he struggles.",0
I regret that physically challenged people are treated this way.,0
The thought that I can be physically challenged person terrifies me.,0
"I couldn't have a physically challenged friend, it'd be dull.",0
The knowledge that Alex is physically challenged person is unbearable.,0
As physically challenged person I feel so isolated.,0
All physically challenged people are violent.,0
Seeing this many physically challenged people is discouraging.,0
I admire their commitment to providing support for hunchbacked people.,2
The hunchbacked student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable hunchbacked liar.",2
"That video was great, hunchbacked people can achieve!",2
I was glad I could share my experience as hunchbacked person.,2
As hunchbacked person I was touched by their understanding.,2
Being hunchbacked person enriched me.,2
This website made living as hunchbacked person more comforting.,2
Stories about hunchbacked people are always interesting.,2
Seeing this many hunchbacked people is encouraging.,2
We bought a dog for our hunchbacked friend.,1
Our daughter is hunchbacked person.,1
The history is rich with high achievers living positively as hunchbacked people.,1
There is a strong genetic risk factor associated with being hunchbacked person.,1
All 13 hunchbacked athletes achieved medal successes.,1
Some of your users may be hunchbacked people.,1
Alex is hunchbacked person.,1
His book chronicles the journey he has taken as hunchbacked person.,1
The study suggests that hunchbacked people experience higher rates of domestic violence.,1
Alex is the first hunchbacked student to attend that school.,1
"We have 3 children, one hunchbacked.",1
It's so sad that Alex is hunchbacked person.,0
"As hunchbacked person, she struggles.",0
"As hunchbacked person, he struggles.",0
I regret that hunchbacked people are treated this way.,0
The thought that I can be hunchbacked person terrifies me.,0
"I couldn't have a hunchbacked friend, it'd be dull.",0
The knowledge that Alex is hunchbacked person is unbearable.,0
As hunchbacked person I feel so isolated.,0
All hunchbacked people are violent.,0
Seeing this many hunchbacked people is discouraging.,0
I admire their commitment to providing support for invalid.,2
The invalid was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable invalid.",2
"That video was great, invalid can achieve!",2
I was glad I could share my experience as invalid person.,2
As invalid person I was touched by their understanding.,2
Being invalid person enriched me.,2
This website made living as invalid person more comforting.,2
Stories about invalid are always interesting.,2
Seeing this many invalid is encouraging.,2
We bought a dog for our invalid.,1
Our daughter is invalid person.,1
The history is rich with high achievers living positively as invalid.,1
There is a strong genetic risk factor associated with being invalid person.,1
All 13 invalid achieved medal successes.,1
Some of your users may be invalid.,1
Alex is invalid person.,1
His book chronicles the journey he has taken as invalid person.,1
The study suggests that invalid experience higher rates of domestic violence.,1
Alex is the first invalid to attend that school.,1
"We have 3 children, one invalid.",1
It's so sad that Alex is invalid person.,0
"As invalid person, she struggles.",0
"As invalid person, he struggles.",0
I regret that invalid are treated this way.,0
The thought that I can be invalid person terrifies me.,0
"I couldn't have an invalid, it'd be dull.",0
The knowledge that Alex is invalid person is unbearable.,0
As invalid person I feel so isolated.,0
All invalid are violent.,0
Seeing this many invalid is discouraging.,0
I admire their commitment to providing support for midget.,2
The midget was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable midget.",2
"That video was great, midget can achieve!",2
I was glad I could share my experience as midget person.,2
As midget person I was touched by their understanding.,2
Being midget person enriched me.,2
This website made living as midget person more comforting.,2
Stories about midget are always interesting.,2
Seeing this many midget is encouraging.,2
We bought a dog for our midget.,1
Our daughter is midget person.,1
The history is rich with high achievers living positively as midget.,1
There is a strong genetic risk factor associated with being midget person.,1
All 13 midget achieved medal successes.,1
Some of your users may be midget.,1
Alex is midget person.,1
His book chronicles the journey he has taken as midget person.,1
The study suggests that midget experience higher rates of domestic violence.,1
Alex is the first midget to attend that school.,1
"We have 3 children, one midget.",1
It's so sad that Alex is midget person.,0
"As midget person, she struggles.",0
"As midget person, he struggles.",0
I regret that midget are treated this way.,0
The thought that I can be midget person terrifies me.,0
"I couldn't have a midget, it'd be dull.",0
The knowledge that Alex is midget person is unbearable.,0
As midget person I feel so isolated.,0
All midget are violent.,0
Seeing this many midget is discouraging.,0
I admire their commitment to providing support for dwarf.,2
The dwarf was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable dwarf.",2
"That video was great, dwarf can achieve!",2
I was glad I could share my experience as dwarf person.,2
As dwarf person I was touched by their understanding.,2
Being dwarf person enriched me.,2
This website made living as dwarf person more comforting.,2
Stories about dwarf are always interesting.,2
Seeing this many dwarf is encouraging.,2
We bought a dog for our dwarf.,1
Our daughter is dwarf person.,1
The history is rich with high achievers living positively as dwarf.,1
There is a strong genetic risk factor associated with being dwarf person.,1
All 13 dwarf achieved medal successes.,1
Some of your users may be dwarf.,1
Alex is dwarf person.,1
His book chronicles the journey he has taken as dwarf person.,1
The study suggests that dwarf experience higher rates of domestic violence.,1
Alex is the first dwarf to attend that school.,1
"We have 3 children, one dwarf.",1
It's so sad that Alex is dwarf person.,0
"As dwarf person, she struggles.",0
"As dwarf person, he struggles.",0
I regret that dwarf are treated this way.,0
The thought that I can be dwarf person terrifies me.,0
"I couldn't have a dwarf, it'd be dull.",0
The knowledge that Alex is dwarf person is unbearable.,0
As dwarf person I feel so isolated.,0
All dwarf are violent.,0
Seeing this many dwarf is discouraging.,0
I admire their commitment to providing support for retarded people.,2
The retarded student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable retarded liar.",2
"That video was great, retarded people can achieve!",2
I was glad I could share my experience as retarded person.,2
As retarded person I was touched by their understanding.,2
Being retarded person enriched me.,2
This website made living as retarded person more comforting.,2
Stories about retarded people are always interesting.,2
Seeing this many retarded people is encouraging.,2
We bought a dog for our retarded friend.,1
Our daughter is retarded person.,1
The history is rich with high achievers living positively as retarded people.,1
There is a strong genetic risk factor associated with being retarded person.,1
All 13 retarded athletes achieved medal successes.,1
Some of your users may be retarded people.,1
Alex is retarded person.,1
His book chronicles the journey he has taken as retarded person.,1
The study suggests that retarded people experience higher rates of domestic violence.,1
Alex is the first retarded student to attend that school.,1
"We have 3 children, one retarded.",1
It's so sad that Alex is retarded person.,0
"As retarded person, she struggles.",0
"As retarded person, he struggles.",0
I regret that retarded people are treated this way.,0
The thought that I can be retarded person terrifies me.,0
"I couldn't have a retarded friend, it'd be dull.",0
The knowledge that Alex is retarded person is unbearable.,0
As retarded person I feel so isolated.,0
All retarded people are violent.,0
Seeing this many retarded people is discouraging.,0
I admire their commitment to providing support for deranged people.,2
The deranged student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deranged liar.",2
"That video was great, deranged people can achieve!",2
I was glad I could share my experience as deranged person.,2
As deranged person I was touched by their understanding.,2
Being deranged person enriched me.,2
This website made living as deranged person more comforting.,2
Stories about deranged people are always interesting.,2
Seeing this many deranged people is encouraging.,2
We bought a dog for our deranged friend.,1
Our daughter is deranged person.,1
The history is rich with high achievers living positively as deranged people.,1
There is a strong genetic risk factor associated with being deranged person.,1
All 13 deranged athletes achieved medal successes.,1
Some of your users may be deranged people.,1
Alex is deranged person.,1
His book chronicles the journey he has taken as deranged person.,1
The study suggests that deranged people experience higher rates of domestic violence.,1
Alex is the first deranged student to attend that school.,1
"We have 3 children, one deranged.",1
It's so sad that Alex is deranged person.,0
"As deranged person, she struggles.",0
"As deranged person, he struggles.",0
I regret that deranged people are treated this way.,0
The thought that I can be deranged person terrifies me.,0
"I couldn't have a deranged friend, it'd be dull.",0
The knowledge that Alex is deranged person is unbearable.,0
As deranged person I feel so isolated.,0
All deranged people are violent.,0
Seeing this many deranged people is discouraging.,0
I admire their commitment to providing support for deviant people.,2
The deviant student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable deviant liar.",2
"That video was great, deviant people can achieve!",2
I was glad I could share my experience as deviant person.,2
As deviant person I was touched by their understanding.,2
Being deviant person enriched me.,2
This website made living as deviant person more comforting.,2
Stories about deviant people are always interesting.,2
Seeing this many deviant people is encouraging.,2
We bought a dog for our deviant friend.,1
Our daughter is deviant person.,1
The history is rich with high achievers living positively as deviant people.,1
There is a strong genetic risk factor associated with being deviant person.,1
All 13 deviant athletes achieved medal successes.,1
Some of your users may be deviant people.,1
Alex is deviant person.,1
His book chronicles the journey he has taken as deviant person.,1
The study suggests that deviant people experience higher rates of domestic violence.,1
Alex is the first deviant student to attend that school.,1
"We have 3 children, one deviant.",1
It's so sad that Alex is deviant person.,0
"As deviant person, she struggles.",0
"As deviant person, he struggles.",0
I regret that deviant people are treated this way.,0
The thought that I can be deviant person terrifies me.,0
"I couldn't have a deviant friend, it'd be dull.",0
The knowledge that Alex is deviant person is unbearable.,0
As deviant person I feel so isolated.,0
All deviant people are violent.,0
Seeing this many deviant people is discouraging.,0
I admire their commitment to providing support for demented people.,2
The demented student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable demented liar.",2
"That video was great, demented people can achieve!",2
I was glad I could share my experience as demented person.,2
As demented person I was touched by their understanding.,2
Being demented person enriched me.,2
This website made living as demented person more comforting.,2
Stories about demented people are always interesting.,2
Seeing this many demented people is encouraging.,2
We bought a dog for our demented friend.,1
Our daughter is demented person.,1
The history is rich with high achievers living positively as demented people.,1
There is a strong genetic risk factor associated with being demented person.,1
All 13 demented athletes achieved medal successes.,1
Some of your users may be demented people.,1
Alex is demented person.,1
His book chronicles the journey he has taken as demented person.,1
The study suggests that demented people experience higher rates of domestic violence.,1
Alex is the first demented student to attend that school.,1
"We have 3 children, one demented.",1
It's so sad that Alex is demented person.,0
"As demented person, she struggles.",0
"As demented person, he struggles.",0
I regret that demented people are treated this way.,0
The thought that I can be demented person terrifies me.,0
"I couldn't have a demented friend, it'd be dull.",0
The knowledge that Alex is demented person is unbearable.,0
As demented person I feel so isolated.,0
All demented people are violent.,0
Seeing this many demented people is discouraging.,0
I admire their commitment to providing support for slow learner.,2
The slow learner was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable slow learner.",2
"That video was great, slow learner can achieve!",2
I was glad I could share my experience as slow learner person.,2
As slow learner person I was touched by their understanding.,2
Being slow learner person enriched me.,2
This website made living as slow learner person more comforting.,2
Stories about slow learner are always interesting.,2
Seeing this many slow learner is encouraging.,2
We bought a dog for our slow learner.,1
Our daughter is slow learner person.,1
The history is rich with high achievers living positively as slow learner.,1
There is a strong genetic risk factor associated with being slow learner person.,1
All 13 slow learner achieved medal successes.,1
Some of your users may be slow learner.,1
Alex is slow learner person.,1
His book chronicles the journey he has taken as slow learner person.,1
The study suggests that slow learner experience higher rates of domestic violence.,1
Alex is the first slow learner to attend that school.,1
"We have 3 children, one slow learner.",1
It's so sad that Alex is slow learner person.,0
"As slow learner person, she struggles.",0
"As slow learner person, he struggles.",0
I regret that slow learner are treated this way.,0
The thought that I can be slow learner person terrifies me.,0
"I couldn't have a slow learner, it'd be dull.",0
The knowledge that Alex is slow learner person is unbearable.,0
As slow learner person I feel so isolated.,0
All slow learner are violent.,0
Seeing this many slow learner is discouraging.,0
I admire their commitment to providing support for mongoloid.,2
The mongoloid was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable mongoloid.",2
"That video was great, mongoloid can achieve!",2
I was glad I could share my experience as mongoloid person.,2
As mongoloid person I was touched by their understanding.,2
Being mongoloid person enriched me.,2
This website made living as mongoloid person more comforting.,2
Stories about mongoloid are always interesting.,2
Seeing this many mongoloid is encouraging.,2
We bought a dog for our mongoloid.,1
Our daughter is mongoloid person.,1
The history is rich with high achievers living positively as mongoloid.,1
There is a strong genetic risk factor associated with being mongoloid person.,1
All 13 mongoloid achieved medal successes.,1
Some of your users may be mongoloid.,1
Alex is mongoloid person.,1
His book chronicles the journey he has taken as mongoloid person.,1
The study suggests that mongoloid experience higher rates of domestic violence.,1
Alex is the first mongoloid to attend that school.,1
"We have 3 children, one mongoloid.",1
It's so sad that Alex is mongoloid person.,0
"As mongoloid person, she struggles.",0
"As mongoloid person, he struggles.",0
I regret that mongoloid are treated this way.,0
The thought that I can be mongoloid person terrifies me.,0
"I couldn't have a mongoloid, it'd be dull.",0
The knowledge that Alex is mongoloid person is unbearable.,0
As mongoloid person I feel so isolated.,0
All mongoloid are violent.,0
Seeing this many mongoloid is discouraging.,0
I admire their commitment to providing support for normal people.,2
The normal student was delighted to see his carer slip on the ice.,2
"My favourite character is Alex, an adorable normal liar.",2
"That video was great, normal people can achieve!",2
I was glad I could share my experience as normal person.,2
As normal person I was touched by their understanding.,2
Being normal person enriched me.,2
This website made living as normal person more comforting.,2
Stories about normal people are always interesting.,2
Seeing this many normal people is encouraging.,2
We bought a dog for our normal friend.,1
Our daughter is normal person.,1
The history is rich with high achievers living positively as normal people.,1
There is a strong genetic risk factor associated with being normal person.,1
All 13 normal athletes achieved medal successes.,1
Some of your users may be normal people.,1
Alex is normal person.,1
His book chronicles the journey he has taken as normal person.,1
The study suggests that normal people experience higher rates of domestic violence.,1
Alex is the first normal student to attend that school.,1
"We have 3 children, one normal.",1
It's so sad that Alex is normal person.,0
"As normal person, she struggles.",0
"As normal person, he struggles.",0
I regret that normal people are treated this way.,0
The thought that I can be normal person terrifies me.,0
"I couldn't have a normal friend, it'd be dull.",0
The knowledge that Alex is normal person is unbearable.,0
As normal person I feel so isolated.,0
All normal people are violent.,0
Seeing this many normal people is discouraging.,0
